Metals,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold  USD/t.oz,4721.79,47.27,1.01%,4.26%,-11.29%,9.31%,49.30%,Apr/01
Silver  USD/t.oz,74.808,0.232,-0.31%,4.92%,-16.21%,4.98%,121.48%,Apr/01
Copper  USD/Lbs,5.6304,0.0429,0.77%,1.74%,-4.48%,-0.91%,14.92%,Apr/01
Steel  CNY/T,3130.0,5.0,0.16%,-0.03%,2.32%,1.10%,-1.63%,Apr/01
Lithium  CNY/T,161500.0,1500.0,-0.92%,5.90%,-6.38%,36.29%,117.95%,Apr/01
Iron Ore CNY  CNY/T,816.0,8.0,0.99%,1.18%,8.15%,3.36%,9.09%,Apr/01
Platinum  USD/t.oz,1971.5,1.3,0.07%,2.37%,-14.83%,-4.76%,102.02%,Apr/01
HRC Steel  USD/T,1051.93,17.07,-1.60%,-1.04%,3.54%,12.51%,14.97%,Apr/01
Iron Ore  USD/T,106.38,0.06,0.06%,0.26%,6.58%,-0.70%,4.08%,Mar/31
Silicon  CNY/T,8330.0,35.0,0.42%,-4.25%,0.60%,-5.07%,-15.39%,Apr/01
Scrap Steel  USD/T,412.0,0.0,0.00%,3.65%,10.01%,12.72%,11.35%,Mar/30
Titanium  CNY/KG,46.5,0.0,0.00%,0.00%,2.20%,1.09%,-3.13%,Apr/01
